sensor_id,sensor_name,parameter_id,parameter_name,parameter_units,location_id,location_name,locality,latitude,longitude,datetime_first,datetime_last
1290017,pm25 µg/m³,2,pm25,µg/m³,3484,PEILLON,PEILLON,43.786582999679794,7.373282999688281,,
4275512,no µg/m³,19843,no,µg/m³,3485,Heming,HÉMING,48.6947249998427,6.965274999684525,,
7745,no2 µg/m³,5,no2,µg/m³,3485,Heming,HÉMING,48.6947249998427,6.965274999684525,,
7897,pm10 µg/m³,1,pm10,µg/m³,3485,Heming,HÉMING,48.6947249998427,6.965274999684525,,
7748,so2 µg/m³,6,so2,µg/m³,3485,Heming,HÉMING,48.6947249998427,6.965274999684525,,
7746,so2 µg/m³,6,so2,µg/m³,3486,FR02003,,43.3869439994639,5.160278,,
7750,so2 µg/m³,6,so2,µg/m³,3488,CUTULLIC2,PAIMBŒUF,47.28611400009877,-2.032288999777477,,
7751,so2 µg/m³,6,so2,µg/m³,3489,PASTEUR,DONGES,47.31728400022854,-2.07330600019189,,
4275467,no µg/m³,19843,no,µg/m³,3490,FR24023,Alpes-Maritimes,43.7933622306242,7.33139357882613,,
7753,no2 µg/m³,5,no2,µg/m³,3490,FR24023,Alpes-Maritimes,43.7933622306242,7.33139357882613,,
7752,pm10 µg/m³,1,pm10,µg/m³,3490,FR24023,Alpes-Maritimes,43.7933622306242,7.33139357882613,,
4275482,no µg/m³,19843,no,µg/m³,3491,Atton,ATTON,48.88638699976619,6.0936109998895915,,
7754,no2 µg/m³,5,no2,µg/m³,3491,Atton,ATTON,48.88638699976619,6.0936109998895915,,
7755,pm10 µg/m³,1,pm10,µg/m³,3491,Atton,ATTON,48.88638699976619,6.0936109998895915,,
7756,so2 µg/m³,6,so2,µg/m³,3491,Atton,ATTON,48.88638699976619,6.0936109998895915,,
7757,so2 µg/m³,6,so2,µg/m³,3492,SAVENAY,SAVENAY,47.36074999970067,-1.9547499997471107,,
7759,so2 µg/m³,6,so2,µg/m³,3493,Dunkerque Port,,51.05207295693919,2.3537836737556526,,
4275105,no µg/m³,19843,no,µg/m³,3494,FROSSAY,FROSSAY,47.24746999974683,-1.9366189996354755,,
